checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
<0 DM,6,critical account / other credits,radio/television,1169,unknown / no savings account,>=7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,unknown / no savings account,1023.04
0-200 DM,48,existing credits paid duly till now,radio/television,5951,<100 DM,1-4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,5207.95
no checking account,12,critical account / other credits,education,2096,<100 DM,4-7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,1,good,no checking account,<87 EUR,1834.29
<0 DM,42,existing credits paid duly till now,furniture/equipment,7882,<100 DM,4-7 years,2,male : single,guarantor,4,building society savings / life insurance,45,none,for free,1,skilled employee / official,2,none,yes,1,good,<0 EUR,<87 EUR,6897.84
<0 DM,24,delay in paying off in the past,car (new),4870,<100 DM,1-4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,2,bad,<0 EUR,<87 EUR,4261.92
no checking account,36,existing credits paid duly till now,education,9055,unknown / no savings account,1-4 years,2,male : single,none,4,unknown / no property,35,none,for free,1,unskilled resident,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,7924.37
no checking account,24,existing credits paid duly till now,furniture/equipment,2835,500-1000 DM,>=7 years,3,male : single,none,4,building society savings / life insurance,53,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,2481.02
0-200 DM,36,existing credits paid duly till now,car (used),6948,<100 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),35,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,6080.46
no checking account,12,existing credits paid duly till now,radio/television,3059,>=1000 DM,4-7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,1,good,no checking account,>=875 EUR,2677.05
0-200 DM,30,critical account / other credits,car (new),5234,<100 DM,unemployed,4,male : married/widowed,none,2,car or other (not in attribute 6),28,none,own,2,management / self-employed / highly qualified,1,none,yes,2,bad,0-175 EUR,<87 EUR,4580.47
0-200 DM,12,existing credits paid duly till now,car (new),1295,<100 DM,<1 year,3,female : divorced/separated/married,none,1,car or other (not in attribute 6),25,none,rent,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,1133.3
<0 DM,48,existing credits paid duly till now,business,4308,<100 DM,<1 year,3,female : divorced/separated/married,none,4,building society savings / life insurance,24,none,rent,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,3770.09
0-200 DM,12,existing credits paid duly till now,radio/television,1567,<100 DM,1-4 years,1,female : divorced/separated/married,none,1,car or other (not in attribute 6),22,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1371.34
<0 DM,24,critical account / other credits,car (new),1199,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),60,none,own,2,unskilled resident,1,none,yes,2,bad,<0 EUR,<87 EUR,1049.29
<0 DM,15,existing credits paid duly till now,car (new),1403,<100 DM,1-4 years,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),28,none,rent,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1227.82
<0 DM,24,existing credits paid duly till now,radio/television,1282,100-500 DM,1-4 years,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),32,none,own,1,unskilled resident,1,none,yes,2,bad,<0 EUR,87-437 EUR,1121.93
no checking account,24,critical account / other credits,radio/television,2424,unknown / no savings account,>=7 years,4,male : single,none,4,building society savings / life insurance,53,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,2121.33
<0 DM,30,no credits taken / all paid duly,business,8072,unknown / no savings account,<1 year,2,male : single,none,3,car or other (not in attribute 6),25,bank,own,3,skilled employee / official,1,none,yes,1,good,<0 EUR,unknown / no savings account,7064.11
0-200 DM,24,existing credits paid duly till now,car (used),12579,<100 DM,>=7 years,4,female : divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,11008.36
no checking account,24,existing credits paid duly till now,radio/television,3430,500-1000 DM,>=7 years,3,male : single,none,2,car or other (not in attribute 6),31,none,own,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,3001.72
no checking account,9,critical account / other credits,car (new),2134,<100 DM,1-4 years,4,male : single,none,4,car or other (not in attribute 6),48,none,own,3,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1867.54
<0 DM,6,existing credits paid duly till now,radio/television,2647,500-1000 DM,1-4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes,1,good,<0 EUR,437-875 EUR,2316.49
<0 DM,10,critical account / other credits,car (new),2241,<100 DM,<1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,1,good,<0 EUR,<87 EUR,1961.18
0-200 DM,12,critical account / other credits,car (used),1804,100-500 DM,<1 year,3,male : single,none,4,building society savings / life insurance,44,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,87-437 EUR,1578.75
no checking account,10,critical account / other credits,furniture/equipment,2069,unknown / no savings account,1-4 years,2,male : married/widowed,none,1,car or other (not in attribute 6),26,none,own,2,skilled employee / official,1,none,no,1,good,no checking account,unknown / no savings account,1810.66
<0 DM,6,existing credits paid duly till now,furniture/equipment,1374,<100 DM,1-4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled resident,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,1202.44
no checking account,6,no credits taken / all paid duly,radio/television,426,<100 DM,>=7 years,4,male : married/widowed,none,4,car or other (not in attribute 6),39,none,own,1,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,372.81
